date,combo,exposure,btc_price
2022-07-25,-0.057510101010101,0.6,21361.701171875
2022-07-26,-0.0496805555555555,0.6,21239.75390625
2022-07-27,-0.051576923076923,0.5,22930.548828125
2022-07-28,-0.0561923076923077,0.5,23843.88671875
2022-07-29,-0.0539487179487179,0.5,23804.6328125
2022-07-30,-0.0559871794871794,0.5,23656.20703125
2022-07-31,-0.0560384615384615,0.5,23336.896484375
2022-08-01,-0.0557692307692307,0.5,23314.19921875
2022-08-02,-0.0887553418803418,0.5,22978.1171875
2022-08-03,-0.0693643162393162,0.6,22846.5078125
2022-08-04,-0.0700897435897435,0.6,22630.95703125
2022-08-05,-0.0723717948717948,0.6,23289.314453125
2022-08-06,-0.078258547008547,0.6,22961.279296875
2022-08-07,-0.0760149572649572,0.6,23175.890625
2022-08-08,-0.0740897435897435,0.6,23809.486328125
2022-08-09,-0.0824230769230769,0.6,23164.318359375
2022-08-10,-0.0979358974358974,0.6,23947.642578125
2022-08-11,-0.1038461538461538,0.6,23957.529296875
2022-08-12,-0.0546666666666666,0.5,24402.818359375
2022-08-13,-0.0648717948717948,0.5,24424.068359375
2022-08-14,-0.0662051282051282,0.5,24319.333984375
2022-08-15,-0.1032564102564102,0.5,24136.97265625
2022-08-16,-0.1163076923076922,0.5,23883.291015625
2022-08-17,-0.1170940170940171,0.5,23335.998046875
2022-08-18,-0.0917467948717948,0.5,23212.73828125
2022-08-19,-0.1238782051282051,0.7,20877.552734375
2022-08-20,-0.0833910256410256,0.7,21166.060546875
2022-08-21,-0.0980576923076923,0.7,21534.12109375
2022-08-22,-0.0619358974358974,0.7,21398.908203125
2022-08-23,-0.038525641025641,0.7,21528.087890625
2022-08-24,-0.0362051282051282,0.7,21395.01953125
2022-08-25,-0.0771399572649572,0.7,21600.904296875
2022-08-26,-0.0583119658119658,0.5,20260.01953125
2022-08-27,-0.0516153846153846,0.5,20041.73828125
2022-08-28,-0.023051282051282,0.5,19616.814453125
2022-08-29,-0.0517435897435897,0.5,20297.994140625
2022-08-30,-0.0517435897435897,0.5,19796.80859375
2022-08-31,-0.041551282051282,0.5,20049.763671875
2022-09-01,-0.0734487179487179,0.5,20127.140625
2022-09-02,-0.0712051282051282,0.6,19969.771484375
2022-09-03,-0.0692051282051282,0.6,19832.087890625
2022-09-04,-0.0345128205128205,0.6,19986.712890625
2022-09-05,-0.047,0.6,19812.37109375
2022-09-06,-0.0622307692307692,0.6,18837.66796875
2022-09-07,-0.0513974358974358,0.6,19290.32421875
2022-09-08,-0.0478205128205128,0.6,19329.833984375
2022-09-09,-0.0478205128205128,0.5,21381.15234375
2022-09-10,0.0006410256410256,0.5,21680.5390625
2022-09-11,-0.0177179487179487,0.5,21769.255859375
2022-09-12,-0.0196581196581196,0.5,22370.44921875
2022-09-13,-0.0531196581196581,0.5,20296.70703125
2022-09-14,-0.0557863247863247,0.5,20241.08984375
2022-09-15,-0.0587863247863247,0.5,19701.2109375
2022-09-16,-0.0410384615384615,0.5,19772.583984375
2022-09-17,-0.0046239316239316,0.5,20127.576171875
2022-09-18,-0.0094572649572649,0.5,19419.505859375
2022-09-19,-0.0182193732193732,0.5,19544.12890625
2022-09-20,-0.0120014245014245,0.5,18890.7890625
2022-09-21,-0.014094017094017,0.5,18547.400390625
2022-09-22,-0.0017222222222222,0.5,19413.55078125
2022-09-23,0.02058547008547,0.5,19297.638671875
2022-09-24,0.0124316239316239,0.5,18937.01171875
2022-09-25,0.0174380341880341,0.5,18802.09765625
2022-09-26,0.0135405982905982,0.5,19222.671875
2022-09-27,0.0304138176638176,0.5,19110.546875
2022-09-28,0.0333703703703703,0.5,19426.720703125
2022-09-29,0.0082934472934472,0.5,19573.05078125
2022-09-30,0.0093062678062678,0.5,19431.7890625
2022-10-01,-0.1052510683760683,0.7,19312.095703125
2022-10-02,-0.1211837606837606,0.7,19044.107421875
2022-10-03,-0.1203739316239316,0.7,19623.580078125
2022-10-04,-0.1293874024526198,0.7,20336.84375
2022-10-05,-0.1490299145299145,0.8,20160.716796875
2022-10-06,-0.2034487179487179,0.9,19955.443359375
2022-10-07,-0.1789743589743589,0.9,19546.849609375
2022-10-08,-0.1729743589743589,0.9,19416.568359375
2022-10-09,-0.1914102564102564,0.9,19446.42578125
2022-10-10,-0.1776282051282051,0.9,19141.484375
2022-10-11,-0.1854871794871795,0.9,19051.41796875
2022-10-12,-0.1766666666666666,0.9,19157.4453125
2022-10-13,-0.1805128205128205,0.9,19382.904296875
2022-10-14,-0.1785897435897435,0.8,19185.65625
2022-10-15,-0.1763170163170163,0.8,19067.634765625
2022-10-16,-0.1734032634032634,0.8,19268.09375
2022-10-17,-0.1589743589743589,0.8,19550.7578125
2022-10-18,-0.1593554778554778,0.8,19334.416015625
2022-10-19,-0.1621631701631701,0.8,19139.53515625
2022-10-20,-0.1612307692307692,0.8,19053.740234375
2022-10-21,-0.1595213675213675,0.8,19172.46875
2022-10-22,-0.1519358974358974,0.8,19208.189453125
2022-10-23,-0.1668974358974359,0.8,19567.0078125
2022-10-24,-0.1577051282051282,0.8,19345.572265625
2022-10-25,-0.1645128205128204,0.8,20095.857421875
2022-10-26,-0.1203739316239316,0.7,20770.44140625
2022-10-27,-0.1614487179487179,0.7,20285.8359375
2022-10-28,-0.1142820512820512,0.7,20595.3515625
2022-10-29,-0.1133824786324786,0.7,20818.4765625
2022-10-30,-0.1163504273504273,0.7,20635.603515625
2022-10-31,-0.1313589743589743,0.7,20495.7734375
